"","C0","C1","C2","C3","C4","C5"
"49","Cooke","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"50","Coryell","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"51","Cottle","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"52","Crane","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"53","Crockett","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"54","Crosby","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"55","Culberson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"56","Dallam","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"57","Dallas","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"58","Dawson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"59","DeWitt","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"60","Deaf Smith","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"61","Delta","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"62","Denton","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"63","Dickens","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"64","Dimmit","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"65","Donley","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"66","Duval","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"67","Eastland","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"68","Ector","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"69","Edwards","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"70","El Paso","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"71","Ellis","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"72","Erath","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"73","Falls","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"74","Fannin","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"75","Fayette","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"76","Fisher","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"77","Floyd","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"78","Foard","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"79","Fort Bend","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"80","Franklin","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"81","Freestone","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"82","Frio","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"83","Gaines","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"84","Galveston","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"85","Garza","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"86","Gillespie","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"87","Glasscock","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"88","Goliad","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"89","Gonzales","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"90","Gray","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"91","Grayson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"92","Gregg","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"93","Grimes","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"94","Guadalupe","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"95","Hale","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"96","Hall","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"97","Hamilton","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"98","Hansford","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"99","Hardeman","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"100","Hardin","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"101","Harris","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"102","Harrison","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"103","Hartley","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"104","Haskell","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"105","Hays","East Texas","North or East Texas","North or East Texas","General North Texas","*"
